====
Fx,Fy,Fz,Mx,My,Mz,m1,m2,m3,m4
-0.212574, 0.154938, 0.620469, 2.21033, 0.192888, 0.0824394, 0, 0, 0, 1
-0.327397, 0.216023, 0.496474, 2.15452, -0.0905764, 0.0836982, 0, 0, 0, 1
-0.396128, 0.251753, 0.451413, 2.13267, -0.486602, 0.084053, 0, 0, 0, 1
-0.429421, 0.281663, 0.379217, 2.00059, -0.935495, 0.0844361, 0, 0, 0, 1
-0.429174, 0.29457, 0.408629, 1.95252, -1.22634, 0.084215, 0, 0, 0, 1
-0.38258, 0.285905, 0.390586, 1.81205, -1.49651, 0.0843677, 0, 0, 0, 1
-0.320779, 0.262435, 0.455304, 1.7928, -1.51462, 0.0842646, 0, 0, 0, 1
-0.252635, 0.232776, 0.544941, 1.83972, -1.27702, 0.0843801, 0, 0, 0, 1
-0.199275, 0.199527, 0.594859, 1.83693, -1.04178, 0.0845793, 0, 0, 0, 1
-0.182435, 0.175524, 0.650455, 1.90357, -0.787766, 0.0844334, 0, 0, 0, 1
-0.19517, 0.170609, 0.681817, 1.99625, -0.508693, 0.0846182, 0, 0, 0, 1
-0.239432, 0.175353, 0.639699, 2.01811, -0.362456, 0.085061, 0, 0, 0, 1
-0.292977, 0.194342, 0.599623, 2.05494, -0.380924, 0.0847393, 0, 0, 0, 1
-0.346817, 0.212642, 0.533091, 2.04256, -0.551737, 0.0846424, 0, 0, 0, 1
-0.370796, 0.23265, 0.523557, 2.09239, -0.629526, 0.0842649, 0, 0, 0, 1
-0.38229, 0.260076, 0.502778, 2.10125, -0.700874, 0.0841714, 0, 0, 0, 1
-0.38387, 0.288212, 0.483995, 2.0895, -0.76063, 0.0841186, 0, 0, 0, 1
-0.380513, 0.313761, 0.461852, 2.04031, -0.837495, 0.0841503, 0, 0, 0, 1
-0.377035, 0.330881, 0.474589, 2.01924, -0.869523, 0.0841723, 0, 0, 0, 1
-0.358512, 0.338296, 0.466746, 1.95688, -0.922786, 0.0841477, 0, 0, 0, 1
-0.334033, 0.330404, 0.492001, 1.9318, -0.948885, 0.0839105, 0, 0, 0, 1
-0.309205, 0.316457, 0.528142, 1.96335, -0.823601, 0.083925, 0, 0, 0, 1
-0.30098, 0.311533, 0.540066, 1.91558, -0.763481, 0.083975, 0, 0, 0, 1
-0.306358, 0.303863, 0.566467, 1.993, -0.575674, 0.0842911, 0, 0, 0, 1
-0.329125, 0.295238, 0.522232, 1.91054, -0.640266, 0.0843137, 0, 0, 0, 1
-0.345644, 0.283266, 0.521464, 1.94661, -0.695489, 0.0839519, 0, 0, 0, 1
-0.349155, 0.273503, 0.509533, 1.88171, -0.853186, 0.0837037, 0, 0, 0, 1
-0.332826, 0.258245, 0.578955, 2.04508, -0.693251, 0.0833821, 0, 0, 0, 1
-0.333399, 0.27101, 0.567099, 2.01088, -0.633254, 0.0840171, 0, 0, 0, 1
-0.34061, 0.278294, 0.578248, 2.09727, -0.532553, 0.0837148, 0, 0, 0, 1
-0.366271, 0.308062, 0.516961, 2.0255, -0.60324, 0.0841504, 0, 0, 0, 1
-0.381717, 0.322088, 0.498787, 2.03131, -0.663891, 0.0838682, 0, 0, 0, 1
-0.391119, 0.337739, 0.469267, 1.99179, -0.753505, 0.0840715, 0, 0, 0, 1
-0.385684, 0.341042, 0.458025, 1.93229, -0.904486, 0.0836936, 0, 0, 0, 1
-0.35643, 0.329179, 0.48346, 1.91723, -0.974204, 0.0834519, 0, 0, 0, 1
-0.328541, 0.321085, 0.543891, 2.03251, -0.738562, 0.0836136, 0, 0, 0, 1
-0.326226, 0.334532, 0.497699, 1.88542, -0.753775, 0.0837763, 0, 0, 0, 1
-0.321362, 0.312022, 0.518029, 1.87962, -0.839377, 0.0828957, 0, 0, 0, 1
====
Fx,Fy,Fz,Mx,My,Mz,m1,m2,m3,m4
0.00571296, -1.16443e-05, 0.0361056, 0.000228239, -3.44417, 1.13152e-06, 0, 0, 0, 0
-6.71058e-05, -7.01571e-06, 0.0265392, -0.00066844, -3.23736, 1.32868e-06, 0, 0, 0, 0
0.000851791, -6.52092e-05, 0.0359857, -0.00128586, -3.18507, -7.7336e-07, 0, 0, 0, 0
-0.00353924, -4.54083e-05, 0.0372244, -0.00152377, -3.21242, -5.78264e-07, 0, 0, 0, 0
-0.00693503, 3.67973e-06, 0.0365015, -0.00139328, -3.22002, -4.3458e-07, 0, 0, 0, 0
-0.0080271, 6.1837e-05, 0.0360216, -0.000995047, -3.20391, -7.89368e-07, 0, 0, 0, 0
-0.00889327, 3.99745e-05, 0.0391063, -0.000431308, -3.18805, -5.76708e-07, 0, 0, 0, 0
-0.00876522, 0.000137991, 0.0375147, 5.9773e-05, -3.1778, -2.61516e-06, 0, 0, 0, 0
-0.00846999, 0.000257181, 0.0361471, 0.000690328, -3.17489, -2.35357e-06, 0, 0, 0, 0
-0.00838428, 0.000412164, 0.0356415, 0.000795835, -3.18777, -2.92676e-07, 0, 0, 0, 0
