time,.layout.dim,.layout.data_offset,.data,,,,,
1970/01/01/01:00:06.490000,[],0,1.6042741982450507e-18, -9.488149366895362e-19, -7.220160007476807, 1.4226323926130067e-19, 2.521477859139202e-19, 4.322533620520884e-19
1970/01/01/01:00:06.500000,[],0,1.6548414034516424e-18, -7.700226390207666e-19, -7.220160007476807, 1.1547589985256584e-19, 2.5832116407237413e-19, 4.428363108090918e-19
1970/01/01/01:00:06.510000,[],0,1.7042318408393008e-18, -5.947291602467315e-19, -7.220160007476807, 8.921276030764236e-20, 2.643452619796564e-19, 4.531632988652984e-19
1970/01/01/01:00:06.520000,[],0,1.7484592236385564e-18, -4.790142956700173e-19, -7.220160007476807, 7.197333406505986e-20, 2.729006876577158e-19, 4.678297281137464e-19
1970/01/01/01:00:06.530000,[],0,1.7916275050610144e-18, -3.6556577672472773e-19, -7.220160007476807, 5.507150090997556e-20, 2.8125769338633905e-19, 4.821560827328586e-19
1970/01/01/01:00:06.540000,[],0,1.8337531253213493e-18, -2.5434968900574805e-19, -7.220160007476807, 3.850219112996331e-20, 2.8941945864100563e-19, 4.961476359990399e-19
1970/01/01/01:00:06.550000,[],0,1.8748528348269653e-18, -1.4533249292417868e-19, -7.220160007476807, 2.226042063871505e-20, 2.9738903365022434e-19, 5.09809764586272e-19
1970/01/01/01:00:06.560000,[],0,1.9692204942391586e-18, -2.730348718627084e-19, -7.220160007476807, 4.221383131784544e-20, 3.113038142158031e-19, 5.336636888983465e-19
1970/01/01/01:00:06.560000,[],0,2.0615038653028715e-18, -3.9815591737749275e-19, -7.220160007476807, 6.176395428985215e-20, 3.249091775334987e-19, 5.569871319438331e-19
1970/01/01/01:00:06.580000,[],0,2.1517356216522997e-18, -5.207347525265661e-19, -7.220160007476807, 8.091690132086269e-20, 3.382099315906217e-19, 5.797884172276456e-19
1970/01/01/01:00:06.590000,[],0,2.2399474029458734e-18, -6.408098929072004e-19, -7.220160007476807, 9.967869531971222e-20, 3.512108326756942e-19, 6.020757131583329e-19
1970/01/01/01:00:06.600000,[],0,2.138648590385945e-18, -6.697007267642634e-19, -7.220160007476807, 1.0598882323552739e-19, 3.353236657888769e-19, 5.748405846948713e-19
1970/01/01/01:00:06.610000,[],0,2.0391619237529673e-18, -6.979467733338414e-19, -7.220160007476807, 1.1216216261989013e-19, 3.1972068714125985e-19, 5.480926139134152e-19
1970/01/01/01:00:06.620000,[],0,1.9414609332673384e-18, -7.255580621808614e-19, -7.220160007476807, 1.1820080081137744e-19, 3.0439781252856857e-19, 5.218248214775461e-19
1970/01/01/01:00:06.630000,[],0,1.8455199763300692e-18, -7.525446228702508e-19, -7.220160007476807, 1.24106857460309e-19, 2.893509577465286e-19, 4.9603022805084565e-19
1970/01/01/01:00:06.640000,[],0,1.6899816902341201e-18, -5.592548475931472e-19, -7.220160007476807, 9.267451117117678e-20, 2.647450228600668e-19, 4.538486180027986e-19
1970/01/01/01:00:06.640000,[],0,1.5373852719867158e-18, -3.6977491112109795e-19, -7.220160007476807, 6.186153575273926e-20, 2.4060471311028996e-19, 4.12465211396471e-19
1970/01/01/01:00:06.660000,[],0,1.3876870878105442e-18, -1.840476216695633e-19, -7.220160007476807, 3.165864157897655e-20, 2.169231525583562e-19, 3.7186824675752824e-19
1970/01/01/01:00:06.670000,[],0,1.2408440209161759e-18, -2.0164629713738027e-21, -7.220160007476807, 2.056636161045177e-21, 1.93693529888909e-19, 3.3204604015981796e-19
